# locale<TAB>key<TAB>value
ro	dialog_title	Conectare la joc
ro	sign_in	Conectare
ro	register	Registru
ro	change_password	Schimbaţi parola
ro	please_sign_in	Vă rugăm să vă conectați
ro	user_name	Nume de utilizator
ro	password	Parolă
ro	confirm_password	Confirmați parola
ro	email	E-mail
ro	invite_code	Cod de invitație
ro	current_password	Parola actuală
ro	new_password	Parolă Nouă
ro	confirm_new_password	Confirmați parola nouă
ro	enter_room	Intră în cameră
ro	create_account	Creează cont
ro	update_password	Actualizați parola
ro	cancel	Anula
ro	welcome_back_enter_room	Bine ai revenit.
ro	play_register_update_account	JOACĂ, ÎNREGISTREAZĂ-ȚI SAU ACTUALIZAȚI-VĂ CONTUL
ro	loading_text	Se încarcă text
ro	enter_user_name_and_password	Introduceți numele de utilizator și parola
ro	signing_in	Conectare...
ro	complete_registration_fields	Completați toate câmpurile de înregistrare
ro	creating_account	Se creează cont...
ro	complete_password_fields	Completați toate câmpurile pentru parole
ro	updating_password	Se actualizează parola...
ro	no_login_response	Niciun răspuns de conectare
ro	login_request_failed	Solicitarea de conectare a eșuat: {0}
ro	login_request_returned_no_data	Solicitarea de conectare nu a returnat date
ro	invalid_login	Autentificare nevalidă
ro	no_registration_response	Niciun răspuns la înregistrare
ro	registration_failed	Înregistrarea a eșuat: {0}
ro	no_password_change_response	Niciun răspuns la schimbarea parolei
ro	password_change_failed	Schimbarea parolei a eșuat: {0}
ro	request_returned_no_data	Solicitarea nu a returnat date
ro	password_changed_sign_in	Parola schimbată.
ro	request_failed	Solicitarea a eșuat
ro	malformed_text_data_from	Date text incorecte de la {0}
ro	error_loading_text	Eroare la încărcarea textului: {0}
ro	forfeit_confirm	Chiar vrei să renunți la acest joc?
am	dialog_title	የጨዋታ መግቢያ
am	sign_in	ይግቡ
am	register	ይመዝገቡ
am	change_password	የይለፍ ቃል ቀይር
am	please_sign_in	እባክዎ ይግቡ
am	user_name	የተጠቃሚ ስም
am	password	የይለፍ ቃል
am	confirm_password	የይለፍ ቃል ያረጋግጡ
am	email	ኢሜይል
am	invite_code	የግብዣ ኮድ
am	current_password	የአሁኑ ሚስጥራዊ ማለፊያ ቁልፍ
am	new_password	አዲስ የይለፍ ቃል
am	confirm_new_password	አዲስ የይለፍ ቃል ያረጋግጡ
am	enter_room	ወደ ክፍል ይግቡ
am	create_account	መለያ ይፍጠሩ
am	update_password	የይለፍ ቃል አዘምን
am	cancel	ሰርዝ
am	welcome_back_enter_room	እንኳን ደህና መጣህ።
am	play_register_update_account	መለያዎን ይጫወቱ፣ ይመዝገቡ ወይም ያዘምኑ
am	loading_text	ጽሑፍ በመጫን ላይ
am	enter_user_name_and_password	የተጠቃሚ ስም እና የይለፍ ቃል ያስገቡ
am	signing_in	በመግባት ላይ...
am	complete_registration_fields	ሁሉንም የመመዝገቢያ ቦታዎችን ይሙሉ
am	creating_account	መለያ በመፍጠር ላይ...
am	complete_password_fields	ሁሉንም የይለፍ ቃል መስኮች ይሙሉ
am	updating_password	የይለፍ ቃል በማዘመን ላይ...
am	no_login_response	ምንም የመግቢያ ምላሽ የለም።
am	login_request_failed	የመግባት ጥያቄ አልተሳካም፡ {0}
am	login_request_returned_no_data	የመግባት ጥያቄ ምንም ውሂብ አልተመለሰም።
am	invalid_login	ልክ ያልሆነ መግቢያ
